,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,L.U.V,Gilli,794587,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
2,ErruDumEllaHvad,ICEKIID,574465,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,546766,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,Avatar,NODE,526609,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
5,Tilbage,KESI,481072,https://open.spotify.com/track/34mLaAt4HZzQOIplvRTURn
6,"Blinding Lights","The Weeknd",422008,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"600 Heste",RH,400349,https://open.spotify.com/track/7EBGROSW7cVYXXBwl7kZbG
8,"Rover (feat. DTG)",S1mba,382941,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
9,"KIKI (feat. Gilli)",LOLO,370908,https://open.spotify.com/track/4Mh5wGoyhpzYECcGdmXTmc
10,SPORT,TopGunn,339419,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM
11,"Roses - Imanbek Remix","SAINt JHN",320573,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Breaking Me",Topic,312544,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
13,Klovne,RH,304076,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
14,"Sol Over København (feat. KESI)",Citybois,299072,https://open.spotify.com/track/0NnmpMt8M9mthgrfuerLfD
15,"Den Værste",Artigeardit,289294,https://open.spotify.com/track/5UhnNbuteXdxGP2cCw7lM9
16,"LA DANZA",Branco,271759,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
17,"In Your Eyes","The Weeknd",259946,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
18,GOOBA,6ix9ine,252717,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
19,"Watermelon Sugar","Harry Styles",248527,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Party Girl",StaySolidRocky,245586,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
21,"Tættere End Vi Tror",P3,239147,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU
22,"Toosie Slide",Drake,234652,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
23,Gonzo,Suspekt,227616,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
24,"WHIP WHOP",I$WAAL,219845,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP
25,"Glo På Mig",Tessa,214888,https://open.spotify.com/track/0u2HxcwML2msMuuKUvpck8
26,Nudes,Jada,214853,https://open.spotify.com/track/1un8VQdm76q7UsLtIGvR2B
27,"Rain On Me (with Ariana Grande)","Lady Gaga",210599,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
28,"Smid Tøjet",Jimilian,209221,https://open.spotify.com/track/0r4dJLEJYPVQhJDr5K0C0d
29,Ben,Tessa,208451,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
30,"Blueberry Faygo","Lil Mosey",203553,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
31,Secrets,Regard,203290,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
32,Burnout,Calby,199271,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
33,"ily (i love you baby) (feat. Emilee)","Surf Mesa",195163,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
34,"Leap Of Faith",Christopher,191308,https://open.spotify.com/track/571B8LxRZwmG1S1YNfGq4Q
35,Gelato,"Benny Jamz",190196,https://open.spotify.com/track/3dradzYJqQ88RJEuQhXt5d
36,"Intentions (feat. Quavo)","Justin Bieber",188336,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
37,"NO SKRUB$",TopGunn,187606,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX
38,"Savage Love (Laxed - Siren Beat)","Jawsh 685",185244,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
39,"Solskin 2.0",ZK,183769,https://open.spotify.com/track/5GtvOTvTnt8x5nMM5qGfF8
40,"TROLLZ (with Nicki Minaj)",6ix9ine,180018,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
41,Fokuseret,Omar,180016,https://open.spotify.com/track/5ETsHOwoJmFVYVGjQ4yMVB
42,"Dance Monkey","Tones And I",179624,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
43,"Min Bror (Josef Og Elias X ICEKIID)","Josef Og Elias",174797,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k
44,Modvind,Carmon,174022,https://open.spotify.com/track/0DjoEWNm4HNqu0JmvlIPcI
45,"Someone You Loved","Lewis Capaldi",172153,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
46,"Så'n der",Tessa,172117,https://open.spotify.com/track/7fuPKXieOyX6mkFHkfcIJd
47,"Break My Heart","Dua Lipa",171568,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
48,"Stuck with U (with Justin Bieber)","Ariana Grande",170533,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
49,"Blitz, Baby",Jung,166789,https://open.spotify.com/track/2dSK7HZu6mxsb0Lx82CxeY
50,"death bed (coffee for your head)",Powfu,166593,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
51,"THE SCOTTS","THE SCOTTS",163783,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
52,Supalonely,BENEE,151319,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
53,"Don't Start Now","Dua Lipa",146804,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
54,"Before You Go","Lewis Capaldi",145300,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
55,"Genie In A Bottle",Faustix,140489,https://open.spotify.com/track/3xTj27LibA0NDDvHNiFPpG
56,Salt,"Ava Max",138620,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
57,Sandheden,Jimilian,133284,https://open.spotify.com/track/4mWw2Yt7o14GkkIdTrrxuc
58,"Vil Du Med…",Suspekt,133261,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
59,"London Town",Branco,132565,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
60,"Vai Amor",Gilli,131990,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
61,"WHATS POPPIN","Jack Harlow",130776,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
62,"Room For Love","Lord Siva",130113,https://open.spotify.com/track/4X1r74w09Ok0KgHSziwVWA
63,Loaded,Fouli,129814,https://open.spotify.com/track/6672OFcTcx5Kupb0lFzvbf
64,"Cardi B","Benny Jamz",127462,https://open.spotify.com/track/3SvowMAlg8lSY2qkbksczg
65,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,122820,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
66,Ghost,Christopher,121970,https://open.spotify.com/track/1ySdKj9IbvIRCyjPBe6NpV
67,"PUB G (feat. Branco & Larry 44)",LOLO,121085,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
68,"Nobody's Lover (feat. Lord Siva)",Clara,119898,https://open.spotify.com/track/6DtelsNA9n8aIkKhBhHk4g
69,"føler mig selv 100","andreas odbjerg",119641,https://open.spotify.com/track/7iuM7vnvSjX9qqcuFtij1T
70,"Bare Dans",KIDD,117769,https://open.spotify.com/track/64NE79ro3Tys4qbek51rBP
71,"Slip Away",Phlake,117272,https://open.spotify.com/track/65OZiiwtjWVtS0WZdG2wmO
72,"The Box","Roddy Ricch",116805,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
73,"Some Say - Felix Jaehn Remix",Nea,114284,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
74,Gutterne,Specktors,111850,https://open.spotify.com/track/4fPd5WKY0Qf9eeg0pHowA1
75,SOS,"Scarlet Pleasure",110566,https://open.spotify.com/track/6COrokpoajC2f9lU7jtq7B
