,Position,Track Name,Artist,Streams,URL,date,uri_x,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,uri_y
0,1,PUB G (feat. Branco & Larry 44),LOLO,613471,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv,2020-01-03,spotify:track:0alp0O9d7KTtAF1QnBqqiv,2019-12-20,159722,0.822,0.318,0.586,0.0,0.113,-6.834,0.112,0.297,118.002,4,spotify:track:0alp0O9d7KTtAF1QnBqqiv
1,2,Yummy,Justin Bieber,498327,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-03,spotify:track:41L3O37CECZt3N7ziG2z7l,2020-01-03,210426,0.687,0.366,0.514,0.0,0.116,-6.612,0.0897,0.494,145.921,4,spotify:track:41L3O37CECZt3N7ziG2z7l
2,3,Blinding Lights,The Weeknd,441317,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-03,spotify:track:0sf12qNH5qcw8qpgymFOqD,2019-11-29,201573,0.513,0.00147,0.796,0.000209,0.0938,-4.075,0.0629,0.345,171.017,4,spotify:track:0sf12qNH5qcw8qpgymFOqD
3,4,Kærlighed (feat. Gilli & Kesi),ATYPISK,428895,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw,2020-01-03,spotify:track:2xeiAqqHWYXQMWk6s2aQdw,2019-11-14,173182,0.903,0.013,0.686,0.0,0.0484,-5.065,0.114,0.686,114.98,4,spotify:track:2xeiAqqHWYXQMWk6s2aQdw
4,5,Dance Monkey,Tones And I,401189,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-03,spotify:track:1rgnBhdG2JDFTbYkYRZAku,2019-05-10,209754,0.825,0.688,0.593,0.000161,0.17,-6.401,0.0988,0.54,98.078,4,spotify:track:1rgnBhdG2JDFTbYkYRZAku
5,6,Sektion (feat. Branco & Gilli),Benny Jamz,394688,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW,2020-01-03,spotify:track:4vdIHpg2MlGO6WnHZE6oeW,2020-01-01,188090,0.767,0.141,0.66,0.0,0.098,-4.485,0.243,0.456,100.092,4,spotify:track:4vdIHpg2MlGO6WnHZE6oeW
6,7,Roses - Imanbek Remix,SAINt JHN,376012,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-01-03,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,2019-10-09,176840,0.77,0.0167,0.724,0.0107,0.353,-5.484,0.0495,0.898,121.975,4,spotify:track:24Yi9hE78yPEbZ4kxyoXAI
7,8,everything i wanted,Billie Eilish,323464,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-01-03,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,2019-11-13,245425,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,0.243,120.006,4,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
8,9,ROXANNE,Arizona Zervas,321042,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-03,spotify:track:696DnlkuDOXcMAnKlTgXXK,2019-10-10,163636,0.621,0.0522,0.601,0.0,0.46,-5.616,0.148,0.457,116.735,5,spotify:track:696DnlkuDOXcMAnKlTgXXK
9,10,Don't Start Now,Dua Lipa,318766,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-03,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,2019-10-31,183290,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,0.677,123.941,4,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
10,11,London Town,Branco,318076,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ,2020-01-03,spotify:track:5TKuvTO4jj4trnmMnqEpoJ,2019-10-04,173933,0.857,0.419,0.541,1.36e-06,0.108,-7.272,0.283,0.565,101.913,4,spotify:track:5TKuvTO4jj4trnmMnqEpoJ
11,12,Ben,Tessa,313274,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT,2020-01-03,spotify:track:2He7ZIvNyBo188a6hvS0zT,2019-10-11,176129,0.897,0.398,0.536,0.0,0.338,-5.612,0.308,0.71,92.984,4,spotify:track:2He7ZIvNyBo188a6hvS0zT
12,13,Flytilstand,Benny Jamz,300060,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3,2020-01-03,spotify:track:6q90mFphEXrrBfIXAbDLY3,2020-01-01,147988,0.824,0.0608,0.716,0.0,0.262,-4.504,0.0732,0.329,99.991,4,spotify:track:6q90mFphEXrrBfIXAbDLY3
